SYCP2L,TFCP2L1,LYPD6B,ITGAD,LINC02273,UNC5B,CFAP210,LAIR2,CFAP97D2,B3GNT7,SLC7A8,SCGB1A1,GSDMA,CPLX2,MXRA7,LINC02848,ELAPOR2,HOXB2,USP18,PPP1R9A,TRIM15,CNN1,LINC00607,EPB41L4A,CLIC3,MT.ND1,MMRN1,ZNF595,IRIS
7.21749253211937,5.90442357018753,7.55796333785914,7.08954591673918,8.37265567037311,5.23378892733757,7.94815081241886,6.92682655996226,7.97551391537169,7.7151753581259,6.23425154253304,5.18909875449067,5.33115770571747,6.92914957830727,9.63012554778362,6.26054994483563,9.49153951247913,6.18476663235824,7.58924242082291,8.55200650106659,6.54228831145056,5.21596354188717,6.38625099917099,9.40005064878925,7.19819312345303,11.5455982063762,10.4260890860818,9.53434190369492,IS
7.68046717427467,6.37526831232326,6.64726354609909,6.17565400058587,8.2027909146462,4.40628581259093,8.26492136771769,7.4554498026803,7.60317073921514,6.67845629427938,7.02989930251229,4.66927521216418,6.65666156212732,7.31628733286023,8.87724085042155,6.75997890193575,9.8765804530954,7.17048945391397,7.20931434230228,8.20717573679247,4.67059757715488,5.89812461704952,5.27249840228566,9.19247512035585,6.74806451878067,12.8321176775101,10.2697401142382,9.16994820427725,IS
8.13845561669902,6.64878169183567,6.29837705946148,5.85979755050599,8.47116596300501,5.38598800643454,7.61773527850567,7.49302832824537,7.30465837974072,6.7204932397336,6.89180690741703,4.78735828612443,5.86745182993836,7.63694728345819,8.4495731462238,6.58615000476182,10.1319383341433,7.03102923130503,6.83269988735494,8.65623017530843,5.09263172964476,5.7148986228439,5.72250456928715,8.77448931040411,7.50061972295767,12.0734536733381,10.3528193257306,9.38631120012909,IS
7.23525178820155,6.13138974316726,7.08938055907782,6.62404673071507,7.91339963140232,5.91976298604687,8.09900286833764,7.19072131061726,7.51981876955723,7.78827878194392,5.33441139574162,4.53711362182979,6.68909986899257,6.73694439756753,8.6269298739443,6.61868142460371,9.64616728830761,6.26876065575136,7.29821045692032,8.1751653495969,5.50346945176303,5.8450100225911,5.79965757660787,8.84939789684615,8.18720167333656,11.326522548896,9.64421577809319,9.41376280820691,IS
6.06952727386929,6.15657001576693,7.17082077079859,5.08854612887177,7.57702550995983,6.51879552836837,9.16911598101657,7.96963033884011,5.50498990845743,6.89399433311791,6.77209867318208,5.8899843556486,5.40295065134971,7.82660229075124,8.13461358335631,7.23593241854176,9.14777528795598,6.96943899648435,7.21680765805219,7.74774614427099,4.65248629879932,5.0393856022544,6.49573992093654,8.31164839636432,7.68242629187973,11.7182714262175,11.2037262507778,9.53432419226115,IR
6.17717313490296,5.70966643544613,8.02824653783721,5.90214041199018,7.24140432037774,6.39461267979097,8.96832341173598,7.32355381073715,6.35050599849635,7.16414344249345,6.41555476756596,6.08515899623279,5.20936927746219,7.30202240183171,8.13798834876188,6.69486461484563,9.04233705129867,7.48968366585179,7.19913763035932,7.51852406958355,4.70785505073914,5.402409331763,5.58111003811361,8.18085935766004,7.41207034493282,11.0171552376163,10.9137838183859,9.38797416757585,IR
6.26158241568058,5.03671666943538,6.88961049687577,6.76661413054671,7.46312172309698,5.04866288929496,8.70260432024608,7.78254283274337,8.69180585265449,7.1528262224864,6.42589194025731,4.46021702046676,6.42069776878495,7.27278389878842,8.88289422445346,6.09990103838526,9.10670788718249,6.65842631660277,7.23049001454717,7.59204388539182,5.13006461936294,6.49450656867452,5.64459001725593,8.19613498105095,7.72564993518059,11.1567376525788,10.1590095118936,9.3958448270704,IS
6.28835031849567,5.81423274404573,6.71892650884685,6.79823650389912,7.39189252039121,5.15194963202875,8.28988246273228,7.74595796336494,8.51717876759413,6.73134251847253,6.51478997582741,5.14781021203933,6.42868513495963,7.31523665264279,8.52596745681707,5.73187421791578,9.34560594629687,6.67326209229486,6.94697681003175,7.48649351998201,4.78737192332785,5.62150982105474,5.71212804309523,8.15990780097157,7.5337468192815,12.0528924690039,10.4533332403559,9.25326352174743,IS
5.98290025334211,6.03199468497208,7.54739818428778,5.99911530441621,7.99008754572343,6.31212005886361,8.69818605743022,7.63048386857465,7.05613383832829,6.52716348960228,5.73004185989547,5.10316310942449,5.12213111332175,7.13285315329438,8.56952180383558,6.77652413314201,9.92323227239021,6.5495930539259,8.91350886414453,7.35663928035663,4.61501975730313,5.44498427543597,5.80606992787107,8.40687231037368,7.43256931666139,11.0829782720009,9.47933643380591,8.1032133551695,IR
6.0944004435857,6.35496724542367,5.8951834825144,5.93380622369984,7.51916004175511,6.16424401977754,8.27827115295844,8.01580695654065,7.61275481930072,7.28209242464755,6.54131922540785,4.64685338220916,5.25007836958769,7.30536177748427,9.15736638528755,6.26799662423828,9.46795682592082,6.03830264368202,6.99754084814753,8.30758832838848,5.48084654701853,5.94216837293335,5.69449086408358,9.4294773294606,7.53072719259375,12.4637106288454,10.3353435291544,9.41952557847027,IS
6.45397039563687,6.17287250049026,6.62785623326465,6.3195463212897,8.09524957494025,6.05090530897153,9.07744276772281,7.488469624586,7.38102733607629,7.35811415294174,6.18574356705713,4.72565467869137,5.49851699815232,7.38366914743513,8.35163697424952,6.69942682883459,9.25125208989146,6.71109854122433,7.34745836568378,8.34388667750029,5.22834765692865,6.04480131139128,6.11477474702455,8.96245034292789,7.84023299291165,11.728505898193,10.4073150229534,9.3242816831685,IS
5.85311364018129,7.37195301054149,6.53093070473817,5.79750656284722,8.15855612583653,6.57631850498989,9.16597488863525,7.23484693023495,8.15281253114854,6.23472967219977,6.69315913233295,6.21257317497223,5.67950696182085,6.78255069254983,8.95687020045972,7.57990366439074,9.69119010978489,7.29156792896354,7.34473053495678,7.27239729179465,5.56488839843117,6.16739640005023,6.65321250499076,8.72386046840333,7.4872733114656,11.3097143182012,10.9374030557612,9.05030677791352,IR
6.10854016777858,7.20849583811633,6.1316292754854,5.51335801451587,7.96080488722529,5.8745150667036,8.92976097222832,7.32807495404219,7.46706176041574,6.53345843366414,5.54064013202522,5.44461217452324,5.56838491783756,7.30336122604776,8.88792106252872,6.82464128167612,9.63129114386013,6.86292060127491,7.434185879026,7.12807207203184,4.95548857597984,5.81627713933069,6.78367709873309,8.45714521376978,6.64577569095971,11.117347205794,10.8866193316849,8.56739355620592,IR
7.75824953585028,7.40880348849389,6.42725949440843,6.25670515055844,8.16823038805742,6.52062731198445,8.98890557290014,7.64744534598168,7.68683891813077,6.84440455596154,5.16161044277756,5.5632307514047,4.8647327676772,6.70671580960922,8.69341664957561,7.42390690224502,9.44536385937429,7.42388450811624,6.74603472786172,7.76159686321561,5.15006744527885,5.91723647774199,7.55239542893571,8.45741969881795,8.07618759245096,11.5896253969908,11.0892343719178,9.71150634843172,IR
7.35092030760924,6.98404004364373,6.40421763519048,6.37784523317278,7.89365284916842,6.55775583001865,9.04585715991612,7.73887710236912,7.71271258043605,6.87529175339713,6.36379545971904,5.01187805616602,5.34526749578386,6.86357807019436,8.85674982976801,6.67410986451869,9.90480151133553,7.41690440535779,6.73709131045215,7.71387666932292,5.04827497890773,5.18782829785745,6.39245395699852,8.55304398158534,6.96708279599653,11.6478232480158,10.8350788946213,9.62314315543104,IR
8.07032279900258,6.92067638557374,5.76084421714849,5.82339301633075,8.35409696664514,5.89233642090144,8.56090768601251,8.518910519225,7.79240619959736,7.29804281144854,8.41614851876505,5.8295262686625,5.04988467497176,7.4027694316967,9.61961824186197,6.04771880770013,9.64090902009844,7.30847061079034,6.40540889141797,7.78300048222201,5.06564464140571,5.35608558035466,6.53055710319309,8.69305873171136,8.59730460921404,12.2510998194136,10.1584981242992,9.47869786379683,IS
7.15658018537195,6.28336048623655,6.91458349475065,6.07296211862081,8.04618997945421,6.34211545925084,8.51675963993956,7.75337338984163,7.98957023512837,8.01105738952804,6.92677638531951,5.25126274092067,5.46317539705401,7.76189900623101,9.24768598175208,6.15486319175342,9.61782701819877,7.28904147811566,6.56205229915987,8.0501670502379,4.73356789046351,5.21649929946077,5.84909663217974,8.68785536687708,8.20219943853277,11.450047077757,10.725983885048,9.77150878438066,IS
7.66158776720883,4.91838541097884,6.78355285001596,7.78790479880717,8.27379199574819,5.70615196241305,7.96067588203056,6.94645035372817,7.04905653430089,6.96793970898131,7.17987036907738,4.5330942287915,7.67478052524234,7.50706861653522,8.74048685373601,6.60653340222142,9.67051596433143,5.65571495643579,6.90339916421469,8.43598141504031,4.59271838994974,5.46404406259337,6.21895481166066,8.70444032403593,7.79087479573069,11.4208139355045,10.9961409153436,9.80308425583877,IS
7.31094502512174,5.93993361272523,6.22804357548108,6.80203299209339,8.40725261728678,5.90524830501548,7.70010107685925,7.44854022598636,7.40083751979372,6.82115890794805,7.14353815886378,4.71283173180926,7.00615826219367,7.81623775810714,9.04073552945804,6.95434956900572,10.2815707561958,5.95047856689916,6.92067058552128,8.38316226697123,4.92729501640591,5.88900407894526,5.82161207122049,9.22304347249351,7.89795238659018,11.9656830604308,10.9311445954778,9.37622999689894,IS
5.6694666317177,6.14860424479193,6.60194222120716,6.19364004578272,8.14336351361217,7.16797970899257,8.79603681211547,7.16823788885349,7.89053126132247,8.34825239302704,5.86920567914701,5.09103269445132,5.73456324246089,7.73009915514367,9.60026201400671,6.45654831344954,9.71915146495807,6.89641218393989,7.11489995161477,8.3787799112764,5.9370838785574,5.57196329791801,6.14186820272601,8.92826042048372,8.55227568849111,11.814787669371,10.2935988774711,9.75310010072291,IS
6.71740310811566,6.29384054667041,6.80204745233077,6.98374438925123,8.20470868830098,6.82510624097034,9.0761779995547,7.20789445251843,7.65506811214726,7.93216813273518,6.21157726113407,5.3003781050302,5.93714201692868,7.18465323661674,9.83609522205169,6.62400144927012,9.16508693243291,6.94264108227211,6.90293975012978,8.19854285669984,4.72735145599876,5.75629966526043,5.8749425301249,8.82651936075506,8.60279456799992,11.64525189714,10.3344448723348,9.88305214718462,IS
8.20757916878256,6.71559502294726,6.10620085471816,5.04139409393234,7.37635154075063,5.68560165890608,8.43997003011908,7.03817867005782,7.48205588473091,7.60503723291119,5.82627226805074,5.1528806229113,5.2476102149114,7.69661568300349,8.42467242146641,6.39366621347689,8.3940347159398,6.94072270112215,6.84777673444692,8.20599194984229,5.55446392827585,5.71608732137584,4.87816928692512,8.83788522675243,7.51139447346129,11.2201421251601,10.7865364339082,9.05061053538939,IS
7.92263017842593,7.21598458996421,6.48993680722123,5.64867189241438,7.39627169995717,5.77373547101117,8.67681078008428,7.1744068750495,7.30331588608602,7.99272104168465,5.9619587157276,5.28127971875939,5.28071242099254,7.90948460171056,9.12549725825779,6.15378333360786,8.41132554535495,7.00122849741369,7.06054575852505,8.18962543273345,5.27981696172299,5.86167376204225,6.06353615957973,9.45108496206663,7.41063920280197,11.1918223384593,10.6353826711629,9.14564623073189,IS
7.92370465244023,5.23186113265764,7.48365236064705,6.03104167613806,8.77246672358548,6.58350179718056,8.35318141114498,7.82576592989532,7.66552475015092,8.17284979230667,6.72817950271197,6.03498135200178,5.49160033974746,8.18296598166236,8.54751812771288,4.97988403667789,9.53532979305394,6.74143122674606,8.05023002995817,9.14145183924219,5.47696476149707,6.19503147211289,5.26185760557077,9.15767503231099,7.67848028514426,11.6112827474409,10.6297552746392,9.19606031790348,IS
7.79384479733632,5.58325727143106,6.46910642613312,5.94246901281426,8.32316703942539,6.18070458092408,8.74848297051373,8.45523734920616,7.41796527894611,7.94491078875225,6.09595148048929,5.69411608285328,5.72443829173056,7.71755839122623,8.66782235018142,5.82460355809761,9.83053587913878,6.58885277148816,7.92083135883679,8.59983755477232,5.00370065335884,5.56083825121801,6.48558752462271,9.22188752319733,8.25362256290979,11.6314763905191,10.031532093033,9.27446490901994,IS
6.50148514611262,6.07674223023765,5.9081477672182,6.05914898243579,8.45307274116492,4.89745575117253,8.91028211416779,7.89863092660447,6.84319232800091,7.90722014218065,6.01771353113048,4.82032642200259,5.48585421010021,8.21073841219995,8.4897105829408,6.24613889024639,9.57761417221378,5.97430670059446,8.32714854618185,8.51028055989722,5.0214632113831,6.44023233678769,5.86112545009844,8.72652163777821,7.51884612480992,11.9019516176352,10.3147921278871,9.20273472414028,IS
6.59513974039551,6.14383806301724,6.08837522609374,6.10823805377716,8.15879441892966,5.74367295762242,9.00882414790978,7.76554865296059,6.87656318136681,7.95177498593019,6.38792153881705,4.97085696799753,5.53782944310492,7.70930959829179,8.2982849506333,6.24624741501008,9.75788844632773,5.87966988684269,7.99458418547792,8.70699951132582,4.69389028677497,6.143796333467,6.06206166762342,8.77229901637877,8.04076421154162,11.6288232373937,10.1587353258158,9.06326471599482,IS
6.11513444649766,6.04892445575165,7.86307670694585,5.4433681465589,7.54179329461532,6.03199628389267,8.60848210480234,7.47898992463433,7.22193647971226,6.9350230394943,5.90914457317137,4.78286562013933,5.14275093383315,6.9559339762083,8.05736375960136,7.3095224605616,9.68916911276299,6.85482572452294,7.38350928997641,8.83272310332801,4.67205617501399,5.3470352241213,6.74199309947235,8.85792739091728,7.31341165439891,11.6626562869452,10.9051655775177,8.87567232274529,IR
6.41087826795036,6.10674594745777,7.54335374600974,6.50490315205418,7.61850447149022,6.10781356308566,8.27798860013832,7.78910341445591,6.80269005916593,7.42976758138989,5.53719585659065,5.44965311626643,5.38802781318539,7.696982936203,8.82243012422583,6.50441960349395,10.0944545191368,6.55610906308061,7.72733042548247,8.27331235714507,4.60070227640518,5.5538938024986,5.8124095907351,8.75660658056417,7.00927238315214,11.2105382833349,10.8056042733238,8.62619600505558,IR
8.72686171615688,6.1656983411603,6.56346533274987,5.75245941270377,6.92580347320526,5.91122011194534,8.1594260078317,6.88077778015548,7.35716471807362,7.952468943687,7.0407012497978,5.69186837499416,5.7780648578734,7.71614802687281,9.68527968726745,6.7249457289477,9.70969184954012,6.81982326757061,6.96129657914036,7.29881832247476,4.13840469087206,6.22851305388705,5.62640031140728,9.34460680521953,8.03163619915341,12.1639892848346,10.4338785079576,9.35811337889705,IS
7.33375847841077,5.82864378397008,6.06534754883017,6.08930738298011,7.27654076258959,6.21749062892073,8.13466095363873,7.03314221053492,6.9607684905933,7.1331445511186,6.15889451659448,5.46450827606123,5.02131291982719,7.5998092066178,9.56687702040259,6.76708012466335,9.80977637362462,6.47057461935257,7.14121601592214,7.49810801830878,5.58586154992761,5.80149967783587,6.36077999844148,9.14953005824385,7.38475511620497,12.0413444345063,10.0808960118323,9.22620428836026,IS
7.78666290773141,8.08675000024406,6.699942284965,4.77247776702978,8.460324929174,5.91835421557411,9.18901419606828,7.85174934227126,6.88870629080127,7.62613374650156,6.38522429579517,4.84066578021389,5.71700985262431,6.53690437792929,8.35320645316878,5.93926030123254,9.48823122594171,6.49896399171014,6.97784191057193,7.3331547771714,4.37044607367667,5.90889763196455,6.76635640419112,7.83358164901874,7.67803903201881,11.0533753586204,10.7772124035532,9.29219969871397,IR
7.80804368838099,7.57485179781885,7.12503301738916,5.81199123749567,8.09820909709934,6.16264204575631,9.07981870036074,8.41366472409131,7.41876877798269,7.30450112868328,6.12846426120689,4.6540448442187,6.23059967087316,6.91866401157013,8.64985540875232,5.7150875528002,9.62674496068177,7.03932610176876,7.84835472340736,7.4367116528629,4.8224159215705,5.58653213765415,6.03006776122838,8.27977548098427,7.85277411074461,11.7478312249965,11.0399342110434,9.34710435282534,IR
6.57789233719555,6.37422345317309,6.73168703340973,5.56402770260105,7.26997980348662,4.91777828136897,8.54936144836266,8.53235264786874,7.65438312277613,6.63104827023651,6.5073407766274,6.0328225683467,5.96322907466894,7.24141374781686,8.52985727713358,6.88143010182304,9.81137504267433,7.17666229337962,7.31196603390166,7.72812995350785,4.71318898593907,5.4491944865255,6.99208727539408,8.11235603384952,7.74758435255317,11.6660285020778,10.9129068596734,9.09272905409956,IR
6.46849719124568,6.43285074842785,6.20717458758436,5.82423733444751,7.38051358462018,5.39613396580778,8.78671196344664,8.37269964848536,7.25875244587818,7.21662661084782,6.54793917032624,5.19194915781112,5.32485531781687,7.49624732071017,8.51389578537004,6.97798237951273,10.2851565354489,7.32954605133514,7.22936817627001,7.97368137013642,4.65436513449656,5.28462478148058,6.76358759877565,8.43297816210067,7.39927456357895,11.3634626568617,10.8625460347109,9.23101520450335,IR
7.62903743315874,4.76839462416526,5.82509151529334,8.73008748583231,7.65240943565358,7.10895488389743,8.43681329365131,7.00894888556181,8.4402431516565,8.35457436902271,6.58866730520696,5.28788436083737,5.39732689598601,7.61067369113755,9.73473347486967,5.20162327326138,10.2000974474395,7.34925750065648,7.36696838008402,8.69287724417051,4.42596560747766,5.12104691218017,5.40588590780046,8.79298776152525,7.69358115289614,12.7923753533657,9.99310183169326,9.35864605789292,IS
7.61727668270387,5.80009817644274,6.44920475637832,8.24774982996988,6.99312932070122,6.27589998868276,7.92618187665097,7.1026721733175,8.05228979546215,8.22085062107432,6.2480222704923,5.50509028299098,5.50780688340556,7.67757012967941,9.77932019742751,5.936147259152,10.3949258733474,7.60239226630367,6.95279160779691,8.68687174484359,5.14570220852134,5.08472937026565,5.74404447908598,9.16325084994633,8.04432496058248,12.0983974989844,10.2408190315291,9.17096010960742,IS
7.96267583399296,5.99788565643369,7.10002230959666,5.93715599995358,7.9827916873198,6.03733295585801,7.41162840674528,8.12810800710072,6.83824837623967,6.45577930811407,6.31242182952397,6.81392776568786,5.47536079318514,7.20722456463409,9.0252457279821,7.83832149285832,9.72150365828102,6.77894428864687,7.66766160302709,7.65758777766842,4.99123162535292,5.31257094170528,5.59963913182016,8.52184590367098,7.55231873334574,11.1359525114269,10.117781886122,8.7364745769229,IR
6.74200907817315,6.01396004434837,6.09111604350541,5.93535267154365,7.49829524192308,6.16208857149572,8.3134999703856,7.59226890471192,7.19292301561649,7.56300117770727,5.71437146419343,6.2625133483664,5.29738783451809,7.14615022829702,8.19155381045842,7.21983153099652,9.65381804029124,6.29467436829373,7.19305484837712,7.8041952586958,5.04334264994699,4.88558985564225,5.34386756461576,8.11163311971401,7.64670745724029,12.0210914496034,10.9685218623414,8.85106769587859,IR
5.88579862697491,7.20438417118621,6.47964176036778,5.69145783666218,7.82460698358827,5.88015603924963,8.94866040382996,8.54713550806968,7.53587471346069,7.7567608295646,5.75728688513957,6.44096267627974,5.53319766685013,7.78759674755013,8.60034495184007,7.25657359962118,10.7218973096683,7.16431068326733,6.79753888850136,8.24868574413717,4.90867886800993,4.60105486542214,5.33317306795645,8.65477318761164,7.25717619942836,12.2791819784959,10.9051906059044,8.53072905227354,IR
6.44453367389064,6.71003529989169,6.59420778001603,5.91799195300424,7.74261764290944,6.38832750954954,8.82837722267397,8.46539229410049,7.31429963272779,7.24764201257417,5.87244762649356,6.78917441239671,5.6784030574389,7.43874579271267,8.49407277823772,6.84934400781181,10.9689534917234,7.08114828162541,7.11102493063429,8.30763062315681,5.04846667235287,5.02245871941972,5.8611984529896,9.00870284942742,7.34515879275675,12.5275626786868,10.9155282024308,8.69708353822488,IR
5.85707811539789,6.51126029677907,6.87324257237003,6.60777340611511,6.94316513879614,5.80238435966518,8.83806250587119,7.81891256797191,7.16887669050362,6.51138765905468,5.80255103386715,5.91537888074159,5.30721825304654,6.08679612641995,8.15976247565529,6.91893598195504,9.44295998760255,6.46009069804886,7.58392139594293,7.63624969496741,4.71027832613107,5.42222598442866,5.95640031262796,7.92453487953323,6.26927784023122,11.6607080867288,10.919575671133,8.93418969546687,IR
